Field,Input XPATH,Output XPATH,Complexity,M/C/O,Description
Product ID,,product_id,S,M,Hardcode it to 1234hhfjsjsjsjshh
Coverage start date,/InsuranceSmartShoppingRequest/insurancePlanSection/itineraryInfo/segmentDetails/flightDate/departureDate,coverage_start_date,S,M,"The day on which coverage begins, Build it in this format :2021-10-01"
Coverage end date,/InsuranceSmartShoppingRequest/insurancePlanSection/itineraryInfo/segmentDetails/flightDate/arrivalDate,coverage_end_date,S,M,"The day on which coverage end, Build it in this format :2021-10-04"
Coverage start hour (24 hr format),/InsuranceSmartShoppingRequest/insurancePlanSection/itineraryInfo/segmentDetails/flightDate/departureTime,coverage_start_hour_number,S,O,The hour when coverage should begin on each of the covered days - overrides the Product default if provided. Required if the Product has no default. Should be provided in the local time of the location of the guarantee. Build only the hour number
Coverage end hour (24 hr format),/InsuranceSmartShoppingRequest/insurancePlanSection/itineraryInfo/segmentDetails/flightDate/arrivalTime,coverage_end_hour_number,S,M,The hour when coverage should end on each of the covered days - overrides the Product default if provided. Required if the Product has no default. Should be provided in the local time of the location of the guarantee. Build only the hour number
Currency,/InsuranceSmartShoppingRequest/insuranceOptionSection/insuranceOptionDetails/pricingInformations/agentOverwritecurrencyelse /InsuranceSmartShoppingRequest/insuranceOptionSection/insuranceOptionDetails/pricingInformations/preferredCurrencyCode,currency,C,M,3 character ISO code representing the currency of the quote - overrides the Product default if provided. eg: USD
Exposure name,subscriberAddressSection with ADE will be taken into consideration and element will be used for this exposure_name,exposure_name,S,M,The human-readable/user-facing name of the location or experience being covered. This field has a character limit of 50; any longer content will be truncated. Exposure name is nothing but the hotel name. Example: Diablo Canyon Campsite 14A
Exposure latitude,,exposure_latitude,S,O,The latitude in decimal degrees of the exposure location eg: 35.8048664
Exposure longitude,,exposure_longitude,S,O,The longitude in decimal degrees of the exposure location eg: -106.1389522
Total coverage amount,/InsuranceSmartShoppingRequest/insurancePlanSection/travelValue/monetaryDetails/amount,exposure_total_coverage_amount,S,M,The total value of the exposure to be covered. Amount to be divided by 1000 eg: 300.51. Send the trip value including taxes
Language (Local),"Pick the language from InsuranceSmartShoppingRequest/languageCode/userPreferences/codedLanguage if present, else/originatorSection/originatorDetails/@language",lang_locale,C,C,eg: en-US. Currently only 2 languages are supported - EN and FR. More languages will be added in 2024. User preferred language can be sent
External ID,,external_id,S,O,"An identifier used to associate a Quote to an order/reservation/booking in another system if available. Alternatively, a shopping cart ID or another type of unique session ID can be used to aggregate Quotes for a browsing experience by a customer."
Billing Address,"/subscriberAddressSection/nameDetails/qualifier=""ARE""/name",,,,
Address Line 1,"Check whether /subscriberAddressSection/nameDetails/qualifier=""ARE"", then build subscriberAddressSection/addressInfo/addressDetails/line1",billing_address.address_line_1,S,,
Address Line 2,"Check whether /subscriberAddressSection/nameDetails/qualifier=""ARE"", then build subscriberAddressSection/addressInfo/addressDetails/line2",billing_address.address_line_2,S,,
City,"Check whether /subscriberAddressSection/nameDetails/qualifier=""ARE"", then build /addressInfo/city",billing_address.city,S,,
Region,"Check whether /subscriberAddressSection/nameDetails/qualifier=""ARE"" and then check for /addressInfo/regionDetails/qualifier = 84. If found, pick up the state from /addressInfo/regionDetails/name. If not found, check if /addressInfo/locationDetails/qualifier = 84; if yes, pick up the state from /addressInfo/locationDetails/name",billing_address.region,C,,
country,"Check whether /subscriberAddressSection/nameDetails/qualifier=""ARE"" and then check for /addressInfo/locationDetails/qualifier = 162. If found, pick up the country from /addressInfo/locationDetails/name. If not found, check if /addressInfo/regionDetails/qualifier = 162; if yes, pick country from /addressInfo/regionDetails/name",billing_address.country,C,,
postal code,"Check whether /subscriberAddressSection/nameDetails/qualifier=""ARE"", then build /addressInfo/zipCode",billing_address.postal_code,S,,
